"Как правило, я не вступаю в общение с малознакомыми людьми.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко обучаюсь ремеслу (рукоделию).";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравятся задачи на «смекалку».";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю однообразную физическую работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Нередко я конфликтую с друзьями из-за того, что говорю, не подумав.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю постоянно находиться среди людей.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я пишу быстро.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро устаю от физической работы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я - разговорчивый человек.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Иногда я преувеличиваю негативное отношение к себе со стороны своих близких.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"У меня часто портится настроение из-за того, что сделанная мною вещь оказывается не совсем удачной.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко обижаюсь, если мне указывают на мои недостатки.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Во время физической работы я часто делаю перерывы для отдыха.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравится разнообразный ручной труд.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко внести оживление в компанию.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я испытываю тревогу, переходя улицу перед движущимся транспортом.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко провести прямую линию от руки (без линейки).";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я могу, не раздумывая, задать вопрос незнакомому человеку.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Меня раздражает быстрая речь собеседника.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я с удовольствием выполняю умственную работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я считаю свои движения медленными и неторопливыми.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Многие считают меня физически сильным.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Когда я оживленно рассказываю о чем-то, я прибегаю к мимике и жестам.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"У меня бывают мысли, которые мне не хотелось бы сообщать окружающим.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Для подготовки к экзаменам я трачу времени меньше, чем другие.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В моей речи много длительных пауз.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Меня огорчает то, что я физически менее развит(а), чем хотелось бы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я сильно волнуюсь перед ответственным разговором.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я устаю, когда приходится долго говорить.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я чувствую в себе избыток физических сил.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Движения моих рук быстры и стремительны.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я свободно чувствую себя в большой компании.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравятся задачи, требующие постоянного переключения внимания.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю задания, не связанные с большой умственной нагрузкой.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю решить задачу до конца, прежде чем взяться за другую.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Даже находясь в тесном кругу друзей, я остаюсь молчаливым.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В работе по хозяйству я легко переключаюсь с одного дела на другое.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я считаю себя мастером на все руки.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко высказываю свои мысли в присутствии незнакомых людей.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я довольно быстро выполняю физическую работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Меня огорчают незначительные ошибки, допущенные при решении какой-либо задачи.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро читаю вслух.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я переживаю из-за того, что у меня нет достаточно выраженных способностей для овладения интересующим меня ремеслом.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я основательно планирую предстоящую умственную работу, чтобы избежать возможных ошибок.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я не отличаюсь оригинальностью в решении задач.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Меня огорчает, что я недостаточно хорошо владею ремеслом (рукоделием).";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я сильно волнуюсь, когда мне приходится выяснять отношения с друзьями.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я нуждаюсь в людях, которые меня ободряют и утешают.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я стараюсь избегать тяжелой физической работы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В свободное время меня тянет пообщаться с людьми.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю подумать, взвесить, и лишь потом высказаться.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"На вечеринках и в компаниях» держусь обособленно.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я без особого труда смог(ла) бы начертить сложную геометрическую фигуру.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В компании я обычно начинаю разговор первым.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко воспринимаю быструю речь.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"У меня медленные движения, когда я что-нибудь мастерю.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро решаю головоломки.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Длительная подготовка к экзаменам утомляет меня.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я иногда сплетничаю.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю выполнять физическую работу в быстром темпе.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравится быстро говорить.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Когда я выполняю работу, требующую тонкой координации движений, я испытываю некоторое волнение.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я люблю бывать в больших компаниях.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я не стараюсь избегать конфликтов.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я способен(а) выполнять длительную физическую работу без утомления.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне приятны быстрые движения.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я люблю уединение.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко настроиться на выполнение нового задания.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне с трудом удалось бы сделать нужную вещь своими руками.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я считаю себя физически сильным человеком.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю работу, не требующую отдачи интеллектуальных сил.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне трудно удержаться от высказывания неожиданно возникшей идеи.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я с легкостью могу обратиться с просьбой к другому человеку.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравится работа, не требующая быстрых движений.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю медленный, спокойный разговор.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я испытываю чувство обиды от того, что окружающие меня люди, как мне кажется, обходятся со мной хуже, чем следовало бы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Умственная работа для меня более привлекательна, чем физическая.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Обычно я дочитываю книгу до конца, прежде чем взяться за новую.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В ручном труде меня раздражают малейшие неполадки.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я обычно медленно выполняю интеллектуальные задания.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я люблю много читать.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Когда я что-то мастерю, я обращаю внимание даже на незначительные погрешности.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Многие считают, что я - довольно сообразительный человек.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В разговоре я легко обижаюсь по пустякам.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Приступая к решению даже несложной задачи, я испытываю чувство неуверенности.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"При общении с людьми я часто чувствую себя неуверенно.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко пересматриваю свои решения и принимаю новые.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Среди моих знакомых есть люди, которые мне явно не нравятся.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
